item_id,title,creator,type,genre,release_date,duration_seconds,average_rating
0,Synergized needs-based orchestration,Amy Kennedy,song,jazz,2022-04-22,352,3.8
1,Realigned cohesive middleware,Bethany Garcia,song,classical,2020-03-26,280,4.33
3,Seamless systematic help-desk,Virginia Todd,song,classical,2023-10-16,169,4.49
5,Balanced clear-thinking hierarchy,Timothy Andrews,song,electronic,2021-09-13,182,3.82
6,User-centric optimal algorithm,Micheal Perkins,song,folk,2023-10-14,336,4.74
7,Self-enabling global implementation,James Stevens,song,jazz,2020-06-10,427,3.62
11,Cloned fault-tolerant budgetary management,Mike Freeman,song,folk,2021-08-23,438,4.23
12,Ameliorated national Graphic Interface,James Bray,song,hip-hop,2020-02-22,456,4.66
14,Operative encompassing adapter,Jessica Haas,song,rock,2023-06-09,212,4.74
15,Reverse-engineered 3rdgeneration functionalities,Rebecca Edwards,song,rock,2021-11-05,192,4.48
16,Networked fresh-thinking orchestration,Derrick Gutierrez,song,electronic,2020-06-11,391,3.43
23,Face-to-face regional synergy,Christian Prince,song,pop,2024-09-30,322,4.97
25,Future-proofed asymmetric open system,Melissa Jensen,song,jazz,2023-12-18,181,3.02
26,Phased interactive database,Jesse Riley,song,pop,2021-09-10,314,4.07
29,Exclusive intangible initiative,Ashley Stevens,song,jazz,2021-03-19,414,3.86
35,Re-contextualized upward-trending product,Phillip Salazar,song,hip-hop,2020-04-03,444,3.23
36,Exclusive high-level Local Area Network,Michelle Richardson,song,folk,2020-09-10,298,3.7
37,Distributed value-added software,Angelica Vincent,song,folk,2023-10-14,195,3.47
39,Cloned scalable database,Richard Rodriguez,song,pop,2024-03-09,441,3.99
40,Future-proofed executive project,Vanessa Rivera,song,hip-hop,2020-10-04,349,4.36
41,Synergized radical encoding,Carolyn Cordova,song,electronic,2021-12-26,439,3.65
42,Customizable coherent core,Rebecca Nguyen,song,pop,2020-02-04,345,3.14
44,Optional interactive project,John Bell,song,classical,2024-06-26,351,3.08
46,Fundamental even-keeled protocol,Patrick Buckley,song,hip-hop,2022-09-17,379,3.77
47,Stand-alone 6thgeneration success,Janet Shelton,song,folk,2022-05-21,141,3.9
48,Ameliorated analyzing artificial intelligence,Garrett Riley,song,pop,2021-07-11,284,4.21
49,Innovative asymmetric installation,Paul Saunders,song,rock,2024-06-10,350,3.21
50,Synchronized stable array,Charles Hernandez,song,electronic,2021-12-10,163,4.01
52,User-centric motivating capability,Dominique Hamilton,song,pop,2022-07-26,306,3.75
54,Cross-group disintermediate policy,Zachary Vargas PhD,song,jazz,2020-07-26,153,3.66
55,Intuitive full-range paradigm,Cynthia Shaw,song,jazz,2023-08-23,249,4.45
56,User-friendly value-added encoding,Jessica Rosario,song,hip-hop,2024-08-20,196,3.67
57,Extended client-server benchmark,Susan Cunningham,song,jazz,2020-10-31,278,4.94
58,Grass-roots leadingedge installation,John Vaughn,song,pop,2021-03-24,424,4.42
60,Total bifurcated functionalities,Nicole Johnson,song,electronic,2022-09-08,470,4.82
64,Robust 5thgeneration support,Nicolas James,song,hip-hop,2023-04-08,396,4.67
65,Business-focused system-worthy toolset,Mario Young,song,electronic,2023-04-26,292,4.75
66,Function-based neutral info-mediaries,Aaron Young,song,classical,2021-07-03,198,3.32
67,Total high-level workforce,Brenda Pierce,song,hip-hop,2023-05-20,204,4.44
70,Versatile disintermediate framework,John Bell,song,folk,2021-01-03,360,4.81
75,Managed transitional interface,April Finley,song,folk,2024-05-04,183,3.57
76,Cross-platform cohesive standardization,Bruce Hernandez,song,classical,2021-04-05,382,3.29
82,Integrated foreground orchestration,Mr. Jimmy Flores Jr.,song,electronic,2020-05-14,360,3.9
87,Devolved empowering conglomeration,Randy Robinson,song,hip-hop,2023-05-25,394,3.03
88,Inverse executive customer loyalty,Jason Crawford,song,electronic,2020-05-18,193,3.58
90,Re-engineered directional adapter,Michelle Brooks,song,hip-hop,2024-09-12,304,3.14
91,Realigned secondary pricing structure,Martin Fitzpatrick,song,folk,2023-02-02,379,4.11
95,Multi-layered composite open system,Thomas Sullivan,song,jazz,2020-07-17,188,3.09
96,Universal multi-tasking Internet solution,Sandra Torres,song,electronic,2023-10-28,209,4.66
97,Persevering systematic methodology,Brian Mendoza,song,classical,2020-07-19,443,3.36
100,De-engineered intermediate database,Julie Johnson,song,hip-hop,2022-12-16,362,3.51
101,Horizontal upward-trending service-desk,Taylor Andersen,song,jazz,2020-11-25,302,4.72
104,Fully-configurable holistic paradigm,Ann Montoya,song,pop,2023-05-19,374,4.38
106,Inverse system-worthy infrastructure,Keith Hall,song,classical,2023-05-23,428,4.99
108,Right-sized eco-centric archive,Michael Ortega,song,classical,2020-06-07,428,4.44
110,Phased heuristic portal,Brandon Smith,song,hip-hop,2024-08-27,342,3.55
111,Right-sized tertiary synergy,Ashley King,song,rock,2024-01-03,158,4.34
116,Persistent clear-thinking array,Ashley King,song,jazz,2021-07-17,310,3.89
118,Intuitive 6thgeneration capacity,Alexander Webb,song,rock,2022-06-15,133,4.47
121,Fundamental multi-state functionalities,Janet Cook,song,pop,2022-02-19,182,3.27
123,Virtual coherent open architecture,James Stevens,song,folk,2024-03-22,283,4.34
124,Switchable scalable website,Brittany Riley,song,hip-hop,2022-02-26,268,4.78
125,Ergonomic coherent application,Teresa Jones,song,electronic,2021-02-07,478,4.28
126,Automated methodical firmware,Deborah Graves,song,pop,2020-10-09,182,4.97
127,Persistent intermediate budgetary management,Kurt Hancock,song,folk,2024-12-07,372,3.05
128,Proactive 6thgeneration intranet,Tim Larsen,song,classical,2021-09-27,402,3.26
